TimeGenerated,IoC,IoC_Type,ExpirationDateTime,Description,Action ,ConfidenceScore,ThreatType,Active,Type,TrafficLightProtocolLevel,ActivityGroupNames
12/7/2022,abca3253c003af67113f83df2242a7078d5224870b619489015e4fde060acad0 ,sha256,12/7/2025,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,17e6189c19dedea678969e042c64de2a51dd9fba69ff521571d63fd92e48601b ,sha256,12/7/2025,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,a2d3c41e6812044573a939a51a22d659ec32aea00c26c1a2fdf7466f5c7e1ee9 ,sha256,12/7/2025,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,2e8d2525a523b0a47a22a1e9cc9219d6526840d8b819d40d24046b17db8ea3fb ,sha256,12/7/2025,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,82e67114d632795edf29ce1d50a4c1c444846d9e16cd121ce26e63c8dc4a1629 ,sha256,12/7/2025,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,90b0a4c9fe8fd0084a5d50ed781c7c8908f6ade44e5654acffea922e281c6b33 ,sha256,12/7/2025,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,e5980e18319027f0c28cd2f581e75e755a0dace72f10748852ba5f63a0c99487 ,sha256,12/7/2025,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,82e67114d632795edf29ce1d50a4c1c444846d9e16cd121ce26e63c8dc4a1629 ,sha256,12/7/2025,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,ea31e626368b923419e8966747ca33473e583376095c48e815916ff90382dda5 ,sha256,12/7/2025,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,C:\ProgramData\SoftwareCache\wsock32.dll ,filepath ,3/7/2023,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,C:\Users\user\AppData\Roaming\Dashboard_v2\DUser.dll ,filepath ,3/7/2023,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,C:\Program Files\CryptoDashboardV2\ ,filepath ,3/7/2023,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,C:\ProgramData\Microsoft Media\VSDB688.tmp ,filepath ,3/7/2023,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,hxxps://od.lk/d/d021d412be456a6f78a0052a1f0e3557dcfa14bf25f9d0f1d0d2d7dcdac86c73/Background.png ,URL,3/7/2023,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,strainservice.com ,domainname,3/7/2023,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,198.54.115.248 ,IP,1/7/2023,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,56762eb9-411c-4842-9530-9922c46ba2da  ,GUID,3/7/2023,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,27E57D84-4310-4825-AB22-743C78B8F3AA ,GUID,3/7/2023,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,"TPLink.exe"" 27E57D84-4310-4825-AB22-743C78B8F3AA /sven ",commandline,3/7/2023,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,DEV-0139
12/7/2022,logagent.exe 56762eb9-411c-4842-9530-9922c46ba2da /shadow ,commandline,3/7/2023,DEV-0139  targeted attacks against the cryptocurrency industry,Alert,100,Cryptocurrency Industry,TRUE,Rapid Release TI,Green,
12/16/2022,repo.ark-event.net,domainname,3/16/2023,MCCrash: Cross-platform DDoS botnet targets private Minecraft servers, 100,Botnet,TRUE,Rapid Release TI,Green,DEV-1028
12/16/2022,e3361727564b14f5ee19c40f4e8714fab847f41d9782b157ea49cc3963514c25,sha256,12/16/2025,MCCrash: Cross-platform DDoS botnet targets private Minecraft servers, 100,Botnet,TRUE,Rapid Release TI,Green,DEV-1028
12/16/2022,143614d31bdafc026827e8500bdc254fc1e5d877cb96764bb1bd03afa2de2320,sha256,12/16/2025,MCCrash: Cross-platform DDoS botnet targets private Minecraft servers, 100,Botnet,TRUE,Rapid Release TI,Green,DEV-1028
